Date,schedstr,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4
12/1/2008,12/16/2008,-0.149833333,-0.17,-0.0725,-0.185,-0.17,-0.185,-0.185,-0.17,-0.26,-0.26,-0.265,-0.27
1/1/2009,1/28/2009,0.005,-0.006923077,0,0.005,0,0,0.005,0,0,-0.01,-0.015,-0.015
2/1/2009,,,,,,,,,,,,,
3/1/2009,3/18/2009,0,-0.005,0,-0.0075,-0.005,-0.015,-0.015,-0.025,-0.05,-0.06,-0.07,-0.07
4/1/2009,4/29/2009,0,0,-0.0025,0,0.005,0,0,0.005,0,0.01,0.015,0.035
5/1/2009,,,,,,,,,,,,,
6/1/2009,6/24/2009,0,0.008157895,0,0,0.005,0.01,0.005,0.01,0.01,0.035,0.05,0.07
7/1/2009,,,,,,,,,,,,,
8/1/2009,8/12/2009,0,0,0,0,0,-0.005,-0.015,-0.01,0,-0.02,-0.045,-0.03
9/1/2009,9/23/2009,-0.01,-0.015769231,0,-0.01,-0.015,-0.02,-0.02,-0.035,-0.05,-0.1,-0.125,-0.135
10/1/2009,,,,,,,,,,,,,
11/1/2009,11/4/2009,-0.005769231,-0.009346154,-0.005,-0.0075,-0.01,-0.01,-0.015,-0.02,-0.015,-0.015,-0.035,-0.04
12/1/2009,12/16/2009,-0.025833333,0,-0.0125,-0.015,0,-0.0025,-0.01,0.0025,-0.005,-0.005,0,0.015
1/1/2010,1/27/2010,-0.005,0.005333333,0,-0.005,0,0,0,0.005,-0.005,0.015,0.04,0.065
2/1/2010,,,,,,,,,,,,,
3/1/2010,3/16/2010,-0.010333333,-0.01,-0.005,-0.0075,-0.01,-0.01,-0.01,-0.02,-0.015,-0.04,-0.05,-0.06
4/1/2010,4/28/2010,0,-0.01,-0.0025,0,-0.005,-0.01,-0.015,-0.02,-0.01,-0.01,-0.015,-0.01
5/1/2010,,,,,,,,,,,,,
6/1/2010,6/23/2010,0.005,-0.002380952,0,0.005,0,0,0,0,0.005,-0.005,0.005,0.005
7/1/2010,,,,,,,,,,,,,
8/1/2010,8/10/2010,0.003690476,-0.008611111,0.0025,0,0.005,0,0,-0.005,-0.01,-0.02,-0.035,-0.04
9/1/2010,9/21/2010,0,0.005555556,0,0,0.005,0.005,0,0,0,-0.01,-0.015,-0.015
10/1/2010,,,,,,,,,,,,,
11/1/2010,11/3/2010,0.008333333,0.020490196,0.0075,0.015,0.005,0.01,0.01,0.005,0.005,-0.01,0,-0.005
12/1/2010,12/14/2010,0.004558824,0.005,0.0025,0.005,0.005,0.005,0,0,0.005,0,0,-0.005
1/1/2011,1/26/2011,-0.005,-0.005,0,-0.005,-0.005,0,-0.005,-0.005,-0.005,-0.005,-0.01,-0.02
2/1/2011,,,,,,,,,,,,,
3/1/2011,3/15/2011,-0.00484375,0,-0.0025,0,0,0,0.005,0,0,0,0.005,0.02
